F1057,F1058,F116,F1165,F1166,F1323,F1495,F1497,F156,F158,F159,F1597,F1599,F160,F1602,F162,F1639,F1705,F1706,F1813,F1814,F1819,F1863,F1921,F1922,F1923,F1968,F2029,F2030,F2076,F2137,F2138,F2143,F2184,F2291,F2385,F2386,F2387,F2388,F2390,F2486,F2487,F2489,F2585,F267,F270,F2787,F2891,F3105,F3484,F3490,F3493,F3534,F3640,F3642,F3700,F3750,F3753,F3799,F3800,F3804,F3805,F3806,F3807,F3810,F3811,F3812,F3813,F3898,F3908,F469,F570,F60,F62,F64,F949,F950,F955,F996,F3886_Agri Adv,F3886_All Others,F3886_Corp Adv,F3886_Current,F3886_Gold Loan,F3886_HL,F3886_ML,F3886_MSME LA TDR,F3886_MSME Medium,F3886_MSME Micro,F3886_MSME Small,F3886_PL,F3886_Retail LA TDR,F3886_Retail Others,F3886_Savings,F3886_Staff Loans,F3886_Term Deposit
0.07663536,0.048930645,0.034836996,0.089304805,0.030821614,-0.07935368,-0.14327615,0.010812268,-0.07975313,-0.15353575,-0.07869735,-0.26794425,-0.06600385,-0.14868104,-0.023227373,0.002201179,-0.19198266,-0.06792201,-0.0053369934,0.03133872,-0.03752309,-0.0032343157,0.045484394,-0.10007696,0.0042279838,0.006415871,-0.09265874,-0.02058341,0.017444871,-0.041208845,-0.0126616405,0.006176759,-0.0054674633,0.0023101075,-0.11739834,-0.031223148,-0.083886065,0.002767967,-0.05506738,-0.054908507,-0.016932083,-0.015141245,0.01712624,-0.019883357,-0.015850596,-0.26400834,0.01595455,-0.038532976,-0.0005821155,-0.23859556,0.049185246,0.20357384,-6.516068e-05,0.04553563,-0.009009277,0.13111241,-0.0068499083,0.016650446,-0.12166615,-0.19303396,-0.24178149,-0.58350754,-0.18439138,-0.057538442,-1.1241249,-0.21324593,-0.46910617,-0.37394336,-2.5627244,-0.4333016,-0.012089431,0.10241943,0.0050150966,-0.03190032,-0.0352766,0.01693352,-0.25666916,-0.033225164,0.0037305304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04329232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009335989,-0.043986544,-0.014911759,-0.029340375,0.013519618,-0.022853829,0.03285093,0.010812268,0.0008343379,-0.010669004,0.015149259,-0.22508408,-0.48824406,-0.13674586,-0.02045352,-0.4565705,-0.08259739,-0.06451197,-0.021717839,0.046318837,-0.014500959,-0.003653746,0.1060287,0.055262942,0.005444688,0.020110546,-0.083383396,-0.0017606755,0.011639449,-0.012898762,0.001878914,0.0032125749,-0.009891033,0.005213545,-0.047829736,-0.038944397,-0.029951595,0.005159926,-0.05052606,-0.18053956,-0.00013019005,-0.015141245,-0.08992931,-0.017792702,-0.015887145,-0.2480272,0.013234547,-0.011976221,-0.057895586,-0.4225523,-0.1206273,0.21434651,-0.10644436,0.052156113,-0.062870674,-0.9704895,0.0061221104,-0.21185195,-0.7571923,-0.29021972,-0.058329117,-0.64443713,-0.15004706,-0.081893735,-0.81573385,-0.0813141,-0.64207464,-0.21667117,0.66384333,0.6774807,-0.0053749788,-0.13542926,-0.00016246294,-0.063076794,-0.0017908663,-0.032893397,0.086123325,-0.09145002,0.0037305304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05167731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12983188,0.046886493,-0.007828655,-0.0011187545,0.040507026,-0.08013942,0.036352415,0.012150284,0.0068170647,-0.02032516,0.016752057,-0.067776814,-0.4683986,-0.1284448,0.08190304,0.02224956,-0.22975668,-0.033095002,0.0029311557,0.089415245,-0.0074363817,-0.008712605,0.04312868,0.0066844644,0.015136478,0.01814214,0.0263177,-0.009835841,0.01727251,-0.014048219,0.028238006,-0.0015111865,-0.009891033,0.0023101075,-0.057027128,0.037331685,-0.07954371,-0.0015178606,-0.010784805,-0.05223839,-0.1288697,-0.015668921,-0.6335861,-0.018850913,-0.008336863,-0.50547606,0.017427854,-0.017182458,-0.07215595,-0.28261954,-0.18557586,0.22215001,0.026146526,0.05373034,-0.019830668,0.13763441,-0.007240278,0.05722268,0.059077207,0.022790221,-0.16268355,0.09170721,0.05060429,0.0007918698,-0.5908133,0.7699732,0.084910914,0.034693103,-3.6141722,0.4952548,0.023612546,0.034006648,0.0050150966,-0.07645692,-0.013275078,-0.00467668,0.082258925,-0.014689377,0.008671916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039663494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.056600615,0.035315353,0.040856242,-0.0011187545,0.009538316,0.007831612,0.04251359,0.012150284,-0.0039502634,-0.12943308,-0.10640016,-0.22222929,-0.23883414,-0.17140129,-0.0061874343,-0.4066343,0.15186177,-0.377138,-0.005648235,-0.13500534,-0.045319453,-0.024516828,-0.87114054,-0.41347826,-0.2140771,-0.19500846,-0.08851312,-0.09797675,-0.08185838,-0.03981902,-0.010999197,-0.038668968,-0.009891033,0.0024613785,-0.09964246,-0.07765805,-0.14001963,-0.055632643,-0.04650398,-0.17927414,-0.17648369,-0.015141245,-0.14526612,-0.0032589466,0.0044763233,-0.29791385,0.019340264,-0.008780829,-0.023238828,-0.28130355,0.010623144,-0.859019,0.012442971,0.043946132,-0.0073739486,0.09586554,-0.010244478,-0.21063207,-0.02939112,-0.019885913,-0.06766374,0.033401538,0.027356964,-0.006340539,0.16942576,-0.007285793,0.039736472,-0.027179377,-3.133931,0.30941263,0.012232581,0.0031528538,-0.17706528,-0.025131794,-0.0053123813,-0.020017179,0.08855759,-0.022437368,0.0037170034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046090387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.091175936,0.011970385,-0.019245926,-0.0011187545,0.026937202,-0.0045156637,0.031604,0.012150284,-0.06949919,-0.020167615,-0.03780015,-1.1305634,-0.3444004,-0.27050424,-0.018114552,-0.09741551,-0.15472338,-0.040763363,0.00010715029,-0.17487378,-0.08337705,-0.06904285,-0.19228649,0.012798165,-0.0016892266,0.0048003625,0.021943478,-0.0058352677,-0.005011732,-0.02564,-0.008283533,0.006176759,-0.004614731,0.0023101075,0.02293426,-0.019605314,-0.03549738,-0.00094140496,-0.035181973,-0.022183234,0.051322848,0.020032998,0.066262096,-0.028902143,-0.039703663,-1.1539907,-0.21492115,-0.042993214,-0.038993992,-0.27071956,0.051529173,-0.8738396,-0.0045077507,0.0035303452,0.012340056,0.12251882,-0.010216063,-0.23174922,-0.013582605,0.005714809,-0.20777114,0.038464304,0.018825626,0.0021715818,-0.90896946,0.054733925,0.09817818,0.0009569251,-2.8529203,-0.60863245,0.022076024,0.010371315,0.013348959,-0.14721055,-0.22578596,-0.012145552,-0.10115116,-0.0077694748,0.0065600057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026588673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12691253,0.046886493,-0.007828655,-0.0011187545,0.013798968,-0.3051689,0.039665587,0.012150284,-0.0031512617,-0.02032516,-0.084996715,-0.25030044,-0.015383195,-0.16932909,0.023643045,-0.11230619,-0.044429168,-0.034841646,0.0029311557,0.0722086,-0.031039398,-0.005379824,0.0013553933,-0.08915917,0.015136478,0.013597729,-0.053566225,-0.03523995,0.011639449,-0.027979769,-0.0126616405,-0.0015111865,-0.009891033,0.0023101075,-0.096815385,0.014695233,-0.07954371,-0.008672246,-0.047705095,-0.2755095,-0.123203196,-0.025314083,-0.5005692,-0.017918343,-0.031751428,-0.50675684,0.010226944,-0.018233236,-0.034724075,-0.23325767,-0.1735308,-0.39488187,0.009916345,0.120571405,0.022808827,-0.8638101,0.019181319,-0.071789056,-0.00055680284,0.0025210637,0.010436442,0.061840773,0.05060429,0.0007918698,0.104290865,-0.13248545,0.084910914,0.015880803,-3.5323687,0.46794108,0.023519512,0.015095356,-0.00021732342,-0.12801504,0.0031586047,0.028150348,-0.25064433,-0.010888956,-0.21906067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04836724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3792479,-0.08168804,-0.024844082,-0.10187015,-0.12061457,-0.061868794,-0.17721242,-0.21149509,0.009953411,-0.026117664,-0.084996715,-0.63120157,-0.26607388,-0.13289686,-0.037786417,-0.006126212,-0.056070264,-0.18825822,0.0029311557,0.075077474,-0.19761099,-0.035229973,-0.0039845267,-0.04537931,0.009346775,0.01814214,-0.029093578,-0.0031665533,0.0040528756,-0.011125479,-0.005015026,-0.008368992,-0.009891033,0.0023101075,-0.084357955,-0.010877723,-0.046730995,-0.008653979,-0.07402429,-0.03316152,-0.106446005,-0.024520693,-0.15307558,-0.22371733,-0.008336863,-0.37074968,0.009954826,-0.082429975,-0.1083355,-0.41286722,-0.17833729,0.1987679,-0.06637631,0.044052947,-0.031906795,-0.943453,0.0027253674,-0.055700723,0.052523922,0.0032720747,-0.23662804,0.13201185,0.11382944,-0.038398065,-0.7578028,0.08578683,0.13471834,0.02114915,-2.8122458,0.41878942,0.02041887,-0.0022478178,-0.00021732342,-0.011267876,0.0018765833,-0.680807,-0.8277166,-0.11040478,0.008520142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061876442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1736236,-0.09015452,-0.15620616,0.0039053964,0.020373486,-0.19599594,0.03343335,0.012150284,-0.15408897,-0.17474973,-0.11320983,0.061774246,-0.052528523,-0.39559117,-0.5120794,-0.3848492,-0.14570637,0.040978376,0.0015620487,0.108866476,-0.00827485,0.01030145,0.08459225,0.15756088,0.022964925,0.01287383,-0.13591038,0.068662725,0.011639449,-0.025766473,-0.0012564117,-0.1113701,-0.0054674633,-0.0953192,-0.007952539,-0.09426022,0.08373067,-0.015158435,-0.12227196,-0.2615504,0.028634196,-0.015668921,0.13563192,-0.021977292,-0.04043826,-0.20368601,0.00035309442,-0.10753394,-0.22878388,-0.40566918,-0.16348034,0.13864109,-0.0036119046,0.052061252,-0.009200435,-0.9590729,0.007575648,-0.08829184,0.046835274,0.028009703,-0.21771134,0.52307385,0.14460813,0.0007918698,-0.6444529,1.5477345,0.07804818,0.02480254,0.5135951,-0.75176406,0.008564058,-0.015069259,-0.00016246294,-0.063951865,-0.06325014,-0.01037525,0.00013480533,-0.08013432,-0.21399848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04709276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1522263,-0.11992622,-0.003167605,0.020186793,-0.10194922,-0.031279936,0.027295683,0.012150284,0.009319436,-0.014048889,-0.025226712,-0.38755584,-0.3202133,-0.15268491,0.022153981,-0.62376744,-0.40382695,-0.047362678,-0.020900277,0.046318837,-0.0037000605,-0.0032545764,0.012400785,0.4811968,0.0042279838,0.103683606,0.031499837,0.12017427,0.0065840376,0.0017413599,0.001878914,-0.029076483,-0.0054674633,0.005213545,-0.007777174,-0.038944397,-0.038409323,-0.016044341,-0.03714686,-0.08812921,-0.047522508,-0.023993017,-0.015842948,-0.020524535,-0.007859549,-0.27905437,0.0132679315,-0.018932551,-0.073482476,0.6679784,-0.08433536,-0.40039453,0.022750901,0.11896035,0.029686958,-0.46875843,0.01879095,-0.06479423,-0.10089519,-0.24185397,0.018226061,-0.5001481,-0.13089594,-0.0057155676,0.12043029,-0.30401304,-0.66531837,-0.23594972,0.69064593,0.66222835,-0.0064457413,0.007037363,0.0068862312,-0.022494838,-0.062493116,-0.14945173,0.06382337,-0.07757799,0.0037305304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05855754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036164643,0.043780353,-0.019856073,-0.0075978194,0.025616283,-0.018148221,0.034678422,0.012150284,0.00017831894,-0.020167615,0.015018795,-1.0536472,-0.50390923,-0.15876296,0.1398191,-0.79876745,-0.18978795,-0.3851858,0.0029311557,-0.13612394,-0.20342942,-0.029353451,-1.0309044,-0.28026414,0.018742913,-0.21489447,0.026526824,-0.15886308,0.01727251,-0.012270298,-0.00787505,0.0064328415,-0.0054674633,0.0023101075,-0.017678458,0.026567202,-0.022242378,-0.002921077,-0.03343829,0.5312752,-0.054127373,-0.015668921,0.07219594,-0.21558562,-0.00365842,-0.209088,0.019144235,-0.015372249,-0.14353938,-0.23842518,0.024971334,0.23134767,0.011959975,0.047948413,0.00416305,0.115606256,-0.010637021,0.048827928,-0.015696192,0.0062533966,-0.012908135,0.09232464,0.06553658,-0.006340539,0.10006921,0.22010617,0.090690985,0.01043596,-3.0539322,0.38116089,0.018322557,-0.06242822,0.005016784,-0.020448327,-0.049632743,-0.2863699,0.07956107,-0.061679292,0.0037170034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03329075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03182329,0.04799766,-0.024245732,-0.0011187545,0.03924197,-0.03949603,-0.1283701,0.012150284,-0.070166714,-0.023705045,-0.047260474,-0.24856919,-0.07513787,-0.15366578,-0.025206393,-0.112607256,-0.13994735,-0.24249095,-0.014907435,-0.03103122,-0.037244394,-0.021353021,-0.11890466,-0.08250832,0.0042279838,0.004506006,-0.05552313,-0.044748098,-0.028135952,-0.012270298,-0.0126616405,-0.038668968,-0.009891033,0.0023101075,-0.10795189,0.004016863,-0.07310046,-0.024826804,-0.08596332,-0.24975702,-0.022727225,-0.02312309,-0.03823668,-0.01997561,-0.008336863,-0.34173396,0.04686356,-0.04021964,-0.059660945,-0.2672408,-0.18459517,-0.3938213,0.0007075723,0.1472137,0.0089616515,-0.8724125,0.019181319,-0.049593028,-0.07163678,0.0025210637,-0.24869032,-0.37177297,-0.14920548,-0.006340539,-1.1241249,-0.14795205,-0.057132203,-0.04787596,-2.759817,-0.5291351,0.023290992,-0.0015181974,-0.00021732342,-0.018407252,-0.057197377,-0.021043546,-0.2576497,-0.015332968,0.0023683608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05133291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019163921,0.018203149,-0.0647983,-0.013682019,0.026542965,0.01023132,0.033011198,0.012150284,-0.06909492,-0.04339466,-0.14977625,0.031882696,-0.07676363,-0.4041911,0.11692336,-0.60046405,-0.16406184,0.051884554,0.00010715029,0.091830455,-0.1452557,0.015715258,0.08659975,-0.026694927,0.008211268,0.003998142,0.016570512,0.03778431,-0.005011732,-0.015176337,0.009591137,0.007161263,-0.0054674633,0.0025929576,-0.013557581,0.001340514,-0.04874791,0.014332796,-0.048426844,-0.11067145,0.030553551,-0.009287472,0.06517432,-0.22608246,-0.039703663,-1.1717296,0.0047827046,-0.024808858,-6.8411464e-06,-0.40027133,-0.19209094,-0.7100607,-0.0883987,0.059280273,-0.040279943,-0.9561087,-0.008672507,-0.30977046,0.14084204,0.010191301,-0.22809613,0.68920094,0.16853033,0.0021715818,-0.82407105,1.7710916,0.11219999,0.026618715,-2.6121244,-0.53577733,-0.01398732,-0.035711713,0.00811654,-0.07599825,-0.17443101,-0.27723604,0.007146053,-0.08013432,0.008849019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027448962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03001241,0.08593323,-0.037608057,-0.08153023,-0.08360521,-0.012129323,0.032244205,0.012150284,-0.1384165,-0.016958864,-0.07835639,-0.23534708,-0.032351278,-0.16975693,-0.0045569725,-0.557272,0.19059461,-0.2634681,0.015292138,-0.02770712,-0.065327734,-0.024752451,-0.8279512,0.008483287,0.039068334,0.008116503,0.023281889,-0.01378607,-0.04339012,0.00043424324,-0.0126616405,-0.03254261,-0.009891033,0.005213545,-0.13481669,-0.101923175,0.1697481,0.0032308162,-0.14069338,-0.057903185,-0.05227333,-0.015141245,-0.03829339,-0.013930157,0.008078559,-0.37445378,0.008201348,-0.0067773312,-0.012534021,-0.46160814,-0.20507908,0.2043689,-0.16984245,0.09965857,-0.15504625,-0.89032197,0.0061221104,-0.31840235,-0.002217488,-0.40385693,0.015309805,-0.37129533,-0.11245533,-0.013005375,0.13380454,0.07683378,-0.44963285,-0.040319595,0.60090274,-0.85087544,0.025417946,0.07205942,-0.0014880432,-0.12906982,-0.037441537,0.005106988,0.09057117,-0.03571861,0.0023683608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05159827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
